lower limit / Ch.,upper limit / Ch.,counts ,time 
100,50,71770,10s
150,200,6954,10s
200,250,2893,10s
250,300,2317,10s
300,350,1499,10s
350,400,921,10s
400,450,780,10s
450,500,585,10s
500,550,495,10s
550,600,529,10s
600,650,1024,10s
650,700,2170,10s
700,750,3072,10s
750,800,2642,10s
800,850,1402,10s
850,900,612,10s
900,950,337,10s
950,1000,230,10s
1000,1050,246,10s
1050,1100,212,10s
1100,1150,221,10s
1150,1200,212,10s
1200,1250,201,10s
1250,1300,215,10s
1300,1350,197,10s
1350,1400,213,10s
1400,1450,211,10s
1450,1500,331,10s
1500,1550,568,10s
1550,1600,1029,10s
1600,1650,1382,10s
1650,1700,1340,10s
1700,1750,905,10s
1750,1800,525,10s
1800,1850,275,10s
1850,1900,199,10s
1900,1950,185,10s
1950,2000,156,10s
2000,2050,145,10s
2050,2100,157,10s
2100,2150,197,10s
2150,2200,216,10s
2200,2250,258,10s
2250,2300,314,10s
2300,2350,323,10s
2350,2400,314,10s
2400,2450,258,10s
2450,2500,214,10s
2500,2550,197,10s
2550,2600,193,10s
2600,2650,151,10s
2650,2700,169,10s
2700,2750,131,10s
2750,2800,152,10s
2800,2850,128,10s
2850,2900,120,10s
2900,2950,142,10s
2950,3000,126,10s
3000,3050,151,10s
3050,3100,129,10s
3100,3150,146,10s
3150,3200,146,10s
3200,3250,131,10s