angle,coincidence,n1,n2,time,clock,,Random Coincidences,n1,n2,time
180,9746,15210,14590,200,14:10,1.55,2750,75451,72191,1000
180,9689,15184,14524,200,15:08,,,,,
180,9665,15156,14530,200,15:30,,,,,
180,9732,15159,14623,200,15:51,,,,,
180,9482,15114,14564,200,16:46,,,,,
90,8651,15199,14781,200,14:14,,,,,
90,8611,15169,14765,200,15:12,,,,,
90,8913,15158,14742,200,15:34,,,,,
90,8778,15156,14784,200,15:55,,,,,
90,8663,15129,14722,200,16:50,,,,,
270,8588,15189,14510,200,14:18,,,,,
270,8624,15189,14475,200,15:16,,,,,
270,8645,15179,14479,200,15:38,,,,,
270,8706,15147,14670,200,15:59,,,,,
270,8708,15116,14555,200,16:54,,,,,
225,9020,15176,14525,200,14:23,,,,,
225,8971,15157,14507,200,15:21,,,,,
225,9057,15140,14529,200,15:42,,,,,
225,9131,15143,14559,200,16:03,,,,,
225,9313,15104,14491,200,16:58,,,,,
135,9046,15175,14689,200,14:28,,,,,
135,9218,15155,14708,200,15:25,,,,,
135,9174,15128,14604,200,15:47,,,,,
135,9337,15164,14684,200,16:07,,,,,
135,9139,15107,14669,200,17:03,,,,,
120,9060,15196,14676,200,14:35,,,,,
120,8773,15169,14711,200,16:11,,,,,
105,8817,15195,14659,200,14:38,,,,,
105,8880,15148,14760,200,16:16,,,,,
150,9660,15187,14674,200,14:43,,,,,
150,9267,15155,14597,200,16:20,,,,,
165,9602,15156,14623,200,14:47,,,,,
165,9732,15137,14587,200,16:24,,,,,
195,9499,15181,14507,200,14:51,,,,,
195,9580,15159,14511,200,16:28,,,,,
210,9283,15156,14470,200,14:55,,,,,
210,9388,15125,14556,200,16:32,,,,,
240,8743,15176,14530,200,15:00,,,,,
240,8773,15131,14489,200,16:37,,,,,
255,8658,15148,14572,200,15:04,,,,,
255,8489,15106,14509,200,16:42,,,,,